family_id,split,样本ID列表,主路由fqdn,主能力base_fqdn,一级领域,二级能力,是否l3,场景桶,主对象,主动作,次要意图模式,主要混淆类型,备注
dev_permit_gov_cn_f01,dev,formal_dev_000001,permit.gov.cn,permit.gov.cn,gov,permit,否,工信,准入手续,许可备案,再把对应依据列一下,词面重叠；治理回落；多意图,
dev_permit_gov_cn_f02,dev,formal_dev_000002,permit.gov.cn,permit.gov.cn,gov,permit,否,工信,准入手续,许可备案,无,词面重叠；治理回落,
dev_permit_gov_cn_f03,dev,formal_dev_000003,permit.gov.cn,permit.gov.cn,gov,permit,否,工信,准入手续,许可备案,再把对应依据列一下,词面重叠；治理回落；多意图,
blind_permit_gov_cn_f01,blind,formal_blind_000001,permit.gov.cn,permit.gov.cn,gov,permit,否,工信,准入手续,许可备案,无,词面重叠；治理回落,
blind_permit_gov_cn_f02,blind,formal_blind_000002,permit.gov.cn,permit.gov.cn,gov,permit,否,工信,准入手续,许可备案,顺便整理成办理清单,词面重叠；治理回落；多意图,
challenge_permit_gov_cn_f01,challenge,formal_challenge_000001,permit.gov.cn,permit.gov.cn,gov,permit,否,工信,准入手续,许可备案,再把对应依据列一下,词面重叠；治理回落；多意图,
dev_policy_gov_cn_f01,dev,formal_dev_000004,policy.gov.cn,policy.gov.cn,gov,policy,否,工信,政策规范,政策检索,顺便列个检查提纲,词面重叠；跨域重叠；多意图,
dev_policy_gov_cn_f02,dev,formal_dev_000005,policy.gov.cn,policy.gov.cn,gov,policy,否,工信,政策规范,政策检索,无,词面重叠,
dev_policy_gov_cn_f03,dev,formal_dev_000006,policy.gov.cn,policy.gov.cn,gov,policy,否,工信,政策规范,政策检索,顺便列个检查提纲,词面重叠；跨域重叠；多意图,
blind_policy_gov_cn_f01,blind,formal_blind_000003,policy.gov.cn,policy.gov.cn,gov,policy,否,工信,政策规范,政策检索,无,词面重叠,
blind_policy_gov_cn_f02,blind,formal_blind_000004,policy.gov.cn,policy.gov.cn,gov,policy,否,工信,政策规范,政策检索,顺便列个检查提纲,词面重叠；跨域重叠；多意图,
challenge_policy_gov_cn_f01,challenge,formal_challenge_000002,policy.gov.cn,policy.gov.cn,gov,policy,否,工信,政策规范,政策检索,无,词面重叠,
dev_compliance_security_cn_f01,dev,formal_dev_000007,data.compliance.security.cn,compliance.security.cn,security,compliance,是,工信,数据出境与留存,数据合规检查,再补风险关注点,治理回落；多意图；粒度回落,
dev_compliance_security_cn_f02,dev,formal_dev_000008,compliance.security.cn,compliance.security.cn,security,compliance,否,工信,合规检查,合规审查,无,治理回落,
dev_compliance_security_cn_f03,dev,formal_dev_000009,transaction.compliance.security.cn,compliance.security.cn,security,compliance,是,工信,交易对象核验,交易对象合规检查,再补风险关注点,治理回落；多意图；粒度回落,
dev_compliance_security_cn_f04,dev,formal_dev_000010,account.compliance.security.cn,compliance.security.cn,security,compliance,是,工信,账号实名与权限,账号合规检查,顺便整理留档要点,治理回落；多意图；粒度回落,
blind_compliance_security_cn_f01,blind,formal_blind_000005,data.compliance.security.cn,compliance.security.cn,security,compliance,是,工信,数据出境与留存,数据合规检查,再补风险关注点,治理回落；多意图；粒度回落,
blind_compliance_security_cn_f02,blind,formal_blind_000006,compliance.security.cn,compliance.security.cn,security,compliance,否,工信,合规检查,合规审查,无,治理回落,
blind_compliance_security_cn_f03,blind,formal_blind_000007,transaction.compliance.security.cn,compliance.security.cn,security,compliance,是,工信,交易对象核验,交易对象合规检查,再补风险关注点,治理回落；多意图；粒度回落,
challenge_compliance_security_cn_f01,challenge,formal_challenge_000003,compliance.security.cn,compliance.security.cn,security,compliance,否,工信,合规检查,合规审查,无,治理回落,
challenge_compliance_security_cn_f02,challenge,formal_challenge_000004,data.compliance.security.cn,compliance.security.cn,security,compliance,是,工信,数据出境与留存,数据合规检查,顺便整理留档要点,治理回落；多意图；粒度回落,
dev_risk_security_cn_f01,dev,formal_dev_000011,risk.security.cn,risk.security.cn,security,risk,否,工信,风险检查,风险评估,再看看是否会牵出数据合规问题,治理回落；多意图,
dev_risk_security_cn_f02,dev,formal_dev_000012,risk.security.cn,risk.security.cn,security,risk,否,工信,风险检查,风险评估,无,治理回落,
dev_risk_security_cn_f03,dev,formal_dev_000013,risk.security.cn,risk.security.cn,security,risk,否,工信,风险检查,风险评估,再看看是否会牵出数据合规问题,治理回落；多意图,
blind_risk_security_cn_f01,blind,formal_blind_000008,risk.security.cn,risk.security.cn,security,risk,否,工信,风险检查,风险评估,无,治理回落,
blind_risk_security_cn_f02,blind,formal_blind_000009,risk.security.cn,risk.security.cn,security,risk,否,工信,风险检查,风险评估,再看看是否会牵出数据合规问题,治理回落；多意图,
challenge_risk_security_cn_f01,challenge,formal_challenge_000005,risk.security.cn,risk.security.cn,security,risk,否,工信,风险检查,风险评估,无,治理回落,
dev_fraud_security_cn_f01,dev,formal_dev_000014,fraud.security.cn,fraud.security.cn,security,fraud,否,非工信,反欺诈,异常识别,再补一份风险关注点,跨域重叠；多意图,
blind_fraud_security_cn_f01,blind,formal_blind_000010,fraud.security.cn,fraud.security.cn,security,fraud,否,非工信,反欺诈,异常识别,无,跨域重叠,
challenge_fraud_security_cn_f01,challenge,formal_challenge_000006,fraud.security.cn,fraud.security.cn,security,fraud,否,非工信,反欺诈,异常识别,无,跨域重叠,
dev_invoice_finance_cn_f01,dev,formal_dev_000015,verify.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,发票验真,验真查验,再补税务字段提醒,兄弟竞争；粒度回落；跨域重叠；多意图,
dev_invoice_finance_cn_f02,dev,formal_dev_000016,invoice.finance.cn,invoice.finance.cn,finance,invoice,否,工信,发票处理,发票处理,无,兄弟竞争；粒度回落,
dev_invoice_finance_cn_f03,dev,formal_dev_000017,issue.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,开票动作,发票开具,再补税务字段提醒,兄弟竞争；粒度回落；跨域重叠；多意图,
dev_invoice_finance_cn_f04,dev,formal_dev_000018,reimburse.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,报销入账,报销判断,顺便整理入账口径,兄弟竞争；粒度回落；多意图,
blind_invoice_finance_cn_f01,blind,formal_blind_000011,verify.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,发票验真,验真查验,再补税务字段提醒,兄弟竞争；粒度回落；跨域重叠；多意图,
blind_invoice_finance_cn_f02,blind,formal_blind_000012,invoice.finance.cn,invoice.finance.cn,finance,invoice,否,工信,发票处理,发票处理,无,兄弟竞争；粒度回落,
blind_invoice_finance_cn_f03,blind,formal_blind_000013,issue.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,开票动作,发票开具,再补税务字段提醒,兄弟竞争；粒度回落；跨域重叠；多意图,
challenge_invoice_finance_cn_f01,challenge,formal_challenge_000007,verify.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,发票验真,验真查验,无,兄弟竞争；粒度回落,
challenge_invoice_finance_cn_f02,challenge,formal_challenge_000008,issue.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,开票动作,发票开具,顺便整理入账口径,兄弟竞争；粒度回落；多意图,
dev_tax_finance_cn_f01,dev,formal_dev_000019,tax.finance.cn,tax.finance.cn,finance,tax,否,工信,税务处理,税务判断,再把开票字段列一下,跨域重叠；多意图,
dev_tax_finance_cn_f02,dev,formal_dev_000020,tax.finance.cn,tax.finance.cn,finance,tax,否,工信,税务处理,税务判断,无,跨域重叠,
dev_tax_finance_cn_f03,dev,formal_dev_000021,tax.finance.cn,tax.finance.cn,finance,tax,否,工信,税务处理,税务判断,再把开票字段列一下,跨域重叠；多意图,
blind_tax_finance_cn_f01,blind,formal_blind_000014,tax.finance.cn,tax.finance.cn,finance,tax,否,工信,税务处理,税务判断,无,跨域重叠,
blind_tax_finance_cn_f02,blind,formal_blind_000015,tax.finance.cn,tax.finance.cn,finance,tax,否,工信,税务处理,税务判断,再把开票字段列一下,跨域重叠；多意图,
challenge_tax_finance_cn_f01,challenge,formal_challenge_000009,tax.finance.cn,tax.finance.cn,finance,tax,否,工信,税务处理,税务判断,再把开票字段列一下,跨域重叠；多意图,
dev_budget_finance_cn_f01,dev,formal_dev_000022,budget.finance.cn,budget.finance.cn,finance,budget,否,工信,预算测算,预算规划,再补采购价格参考,跨域重叠；多意图,
blind_budget_finance_cn_f01,blind,formal_blind_000016,budget.finance.cn,budget.finance.cn,finance,budget,否,工信,预算测算,预算规划,无,跨域重叠,
dev_invest_finance_cn_f01,dev,formal_dev_000023,invest.finance.cn,invest.finance.cn,finance,invest,否,非工信,投资理财,投资判断,无,跨域重叠,
blind_invest_finance_cn_f01,blind,formal_blind_000017,invest.finance.cn,invest.finance.cn,finance,invest,否,非工信,投资理财,投资判断,无,跨域重叠,
dev_meeting_productivity_cn_f01,dev,formal_dev_000024,summary.meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,是,工信,会议纪要,纪要总结,顺手列个后续待办,兄弟竞争；多意图,
dev_meeting_productivity_cn_f02,dev,formal_dev_000025,meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,否,工信,会议处理,会议协同,无,兄弟竞争,
dev_meeting_productivity_cn_f03,dev,formal_dev_000026,schedule.meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,是,工信,会议安排,会议排期,无,兄弟竞争,
dev_meeting_productivity_cn_f04,dev,formal_dev_000027,action-items.meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,是,工信,行动项,待办提取,再补会议材料提纲,兄弟竞争；跨域重叠；多意图,
blind_meeting_productivity_cn_f01,blind,formal_blind_000018,meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,否,工信,会议处理,会议协同,无,兄弟竞争,
